artist_id,artist_name,artist_popularity,artist_followers
3MFp4cYuYtTZe3d3xkLLbr,Bill Haley & His Comets,49,303457
5hqB3Fxgin9YGYa0mIGf1G,Laurie Anderson,38,130606
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,63,1262159
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,65,4075141
4RncsrNJ1GDGsFBIxI76L6,Jimmy Giuffre,32,9535
2TXpVEw5FbzDh93tLoDm0i,Big Black Delta,35,69763
1N2FgBLehaq77UEdJhCt7f,Saint Etienne,40,121417
2oyWkw7sq99yqj12hVUHtw,David Sylvian,39,127904
2UDplVRprMbazU74Hq8OLl,The Jayhawks,40,115422
5GUVj2b1lJ4DolQyHlzyaO,Blind Faith,43,391219
17dXLKGh9AKpooAvGaVt34,Junior Murvin,39,46936
0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,58,530616
4lYtGx5NZQJHsMyhHc5iz3,The Cramps,56,439104
1zuJe6b1roixEKMOtyrEak,Tina Turner,67,3781106
3v4feUQnU3VEUqFrjmtekL,Faces,53,396551
5nRoa8Fv2bXoYkKW1y1Ze3,RIDERS,42,30856
2ScuQMRWThcifBRIvNDFDC,John Mayall & The Bluesbreakers,43,414489
64tVHZVSAZhDEiOJxnb6hE,Sparklehorse,45,157755
5E2rtn57BM2WPjwak4kGd5,At the Drive-In,41,317409
5hW4L92KnC6dX9t7tYM4Ve,Joni Mitchell,52,1343268
1OmdWpAh1pucAuZPzJaxIJ,Calexico,46,199100
5fuQrhMRYMtoO9uOlFad4P,The Fall of Troy,41,162842
1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,61,743796
0vUJ3QLN3MlRfjOc2LjGWp,Inner City,44,72775
6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson,53,258017
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,77,10707127
16eRpMNXSQ15wuJoeqguaB,The Flaming Lips,53,765355
1ZwdS5xdxEREPySFridCfh,2Pac,77,16538712
23i8EixXKG0EWGRCfHlUGN,Milt Jackson,34,34747
4HCubdy7diarb4KZo8etrq,The Go-Betweens,35,50086
3inCNiUr4R6XQ3W43s9Aqi,Pavement,55,539597
1HJHwWck1EY096ea2iPAHO,Clifford Brown,44,129695
4w3QqrcmBv8dasemwBXmxf,Prefab Sprout,43,198691
389zc5Rwe0MPcE6mSF4AjC,Bunny Wailer,45,357389
6c8INA1EQQe9TkukfEdiCA,Graham Parker,24,45082
6iygtKnPG7TRvDaTYcLOd6,The Flamingos,46,71580
048FBwXjFYBWxSggPDipic,Maximo Park,43,238745
4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney,42,244306
1DTgcOxytJHD8p17mhSgd7,Big Joe Turner,33,45937
3LzQVHowQWbzJBwBBNRPfY,Clifton Chenier,22,12931
7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,67,1553509
0z6zRFzl5njXWLVAisXQBz,Minutemen,43,150981
3CYSRCHfilgR8DSbkCMp5j,Cowboy Junkies,44,184788
6FfTOJJ5iO4tRG80MG5Ovj,Isolée,26,44131
5EtBXjUUyPJmiljpRdN6RJ,The Auteurs,23,16693
392WuM1Yb4QRI0GG4epyn5,Goldie Boutilier,38,13572
4EnEZVjo3w1cwcQYePccay,N.W.A.,62,5318877
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,73,13904602
1P8IfcNKwrkQP5xJWuhaOC,LL COOL J,59,1594357
2LMR8u7DOMF0FBseDpTsRa,The Beta Band,37,107344
4Cedjq5BQL3MhapRvDpFED,Neko Case,47,218175
2Lhs0asnFQiLuntn3s8p78,Lambchop,34,88806
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,82,26469550
6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,62,1238390
2ye2Wgw4gimLv2eAKyk1NB,Metallica,79,26198971
2NOhotupwYbKRNJF7LMDPG,The Jon Spencer Blues Explosion,39,99664
41ZMMuFFLPTVPkUsSI5KlV,Jimmy Reed,37,138203
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,58,1294796
7FW2qwsY0zLV9GppWatQ5P,Lowswimmer,59,11770
3qkZBMz5JgmRN9u5wwhRC6,The Hold Steady,36,81194
4WPY0N74T3KUja57xMQTZ3,The Replacements,49,279714
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,59,1547206
52uMkSFt2RVO6XxTEt5VeW,Gene Chandler,37,82808
3t58jfUhoMLYVO14XaUFLA,Pat Metheny,48,337728
0QJIPDAEDILuo8AIq3pMuU,M.I.A.,64,1269749
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,76,19757189
7xYxgSJaIf7yOFLmknYX38,13th Floor Elevators,36,129597
29kkCKKGXheHuoO829FxWK,Boston,63,2599276
5yV1qdnmxyIYiSFB02wpDj,The Postal Service,52,563354
22ojy4H4ZVpowC4lRRC8In,Destroyer,37,170758
03cwCzIWQ8BRmXjGPDAL04,Cab Calloway,38,140845
6ZFv3wQwwWPiVDWhv0mjQK,Toots & The Maytals,50,461989
4ACplpEqD6JIVgKrafauzs,The Everly Brothers,56,887641
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,80,29230343
2GATzeg62cr6sH29wSOVWe,Red House Painters,37,119299
