song_id,song_name,song_popularity,song_disc_number,song_explicit,song_is_playable,song_track_number,artist_id,album_id,song_danceability,song_energy,song_key,song_loudness,song_mode,song_speechiness,song_acousticness,song_instrumentalness,song_liveness,song_valence,song_tempo,song_duration_ms,song_time_signature
1bxIFb4hukonhlNRqfPyVj,Breadcrumb Trail - Remastered,27,1,False,,1,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.254,0.576,7,-11.858,1,0.0413,0.0179,0.117,0.059,0.206,180.321,354424,4
09Xjk3uwENvFFkOQzOWUf6,Nosferatu Man - Remastered,26,1,False,,2,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.523,0.664,2,-11.856,1,0.0358,0.0133,0.7,0.0537,0.413,111.08,334256,3
06VIjXj4CWLJyBCM9SVlJS,"Don, Aman - Remastered",24,1,False,,3,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.471,0.153,0,-21.368,0,0.0452,0.344,0.866,0.0728,0.0323,136.957,387293,4
6BAU4ZBiEZxOL6cO25KTrx,Washer - Remastered,26,1,False,,4,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.439,0.131,5,-20.812,1,0.0345,0.47,0.51,0.0882,0.039,111.545,529627,4
5IRfqGHQXmUDQ518QXXfcD,For Dinner… - Remastered,21,1,False,,5,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.313,0.0402,7,-28.273,0,0.0432,0.789,0.823,0.103,0.0737,164.07,305307,4
3pF6D6cIb1xz5u6Ln5mtpN,"Good Morning, Captain - Remastered",26,1,False,,6,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.454,0.673,7,-13.403,1,0.0407,0.0578,0.627,0.105,0.0649,188.927,461334,4
1thciBv7Mji5M3bdEIFoMA,Nosferatu Man - Basement Practice,19,2,False,,1,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.398,0.42,7,-12.963,1,0.045,0.175,0.816,0.346,0.0644,117.081,425800,3
10LKFtOS9fnegzv3wBgHDF,Washer - Basement Practice,18,2,False,,2,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.465,0.397,5,-16.667,1,0.0429,0.439,0.887,0.113,0.0734,124.273,288640,4
7huWhJQ2pj1bw8vd9hCIRu,"Good Morning, Captain - Demo",16,2,False,,3,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.604,0.48,2,-13.882,1,0.0271,0.0752,0.603,0.122,0.138,93.423,454947,4
7iHlFEg6viUNZ3ywNAULF7,"Pam - Rough Mix, Spiderland Outtake",19,2,False,,4,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.316,0.624,2,-13.317,1,0.029,0.0191,0.893,0.139,0.375,156.783,284013,4
09b2aqfZQh85lVcZ5Dc3T9,Glenn - Spiderland Outtake,17,2,False,,5,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.341,0.22,9,-18.484,0,0.0463,0.719,0.878,0.324,0.109,207.021,479507,3
2GRMeaUZCJBqP1K8iqMd6l,Todd's Song - Post-Spiderland Song in Progress,16,2,False,,6,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.414,0.372,7,-18.553,1,0.048,0.811,0.833,0.331,0.241,97.649,442493,3
35sUHNVRcu81auCWOWGPNJ,Brian's Song - Post-Spiderland Demo,15,2,False,,7,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.805,0.0852,4,-20.495,1,0.162,0.0515,0.895,0.068,0.0345,159.13,357293,4
3ocoYb7N8G2raTRDWJe7Up,Cortez the Killer - Live Chicago 1989,21,2,False,,8,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.38,0.323,5,-15.367,1,0.0326,0.315,0.000843,0.243,0.168,100.393,516507,4
1flg0Z0H4pfB29vydEFNqj,Washer - 4 Track Vocal Demo,12,2,False,,9,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.496,0.0861,5,-17.554,1,0.0355,0.669,0.25,0.0873,0.0394,105.302,441773,4
6MPAJEfENGNMQ8aDcqgDam,Nosferatu Man - 4 Track Vocal Demo,12,2,False,,10,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.407,0.401,2,-15.516,1,0.048,0.145,0.594,0.328,0.373,116.013,323080,3
2hVkN0BeDXjgkd3Mtat68z,Pam - 4 Track Vocal Demo,12,2,False,,11,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.297,0.605,2,-13.221,0,0.0337,0.0825,0.00424,0.263,0.504,150.328,213253,4
0eMNTgGz2y4XeeefkH0Zjv,"Good Morning, Captain - Evanston Riff Tape",26,2,False,,12,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.678,0.596,9,-18.793,0,0.0286,0.0893,0.935,0.195,0.694,127.937,45187,4
6hkRV9iXnSl9KpKwdTESiu,Nosferatu Man - Evanston Riff Tape,11,2,False,,13,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.443,0.407,6,-17.212,1,0.0493,0.111,0.137,0.0958,0.352,80.654,198200,5
3CJE6TsvHKtCGVmrzo8Lqc,Pam - Evanston Riff Tape,11,2,False,,14,4IwOItqRhsIoRuD5HP4vyC,3crSdepGPHDSUXAU9y98lG,0.358,0.448,7,-17.428,1,0.0454,0.409,0.857,0.102,0.0467,122.198,279397,4
7K8mX41Nub7AzBt1RwwE6d,Breadcrumb Trail,49,1,False,,1,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.235,0.44,7,-16.609,1,0.0406,0.0106,0.119,0.0947,0.196,175.747,355533,3
55sPjd9D4VelNiR70Y1cCr,Nosferatu Man,45,1,False,,2,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.496,0.536,2,-15.693,1,0.0393,0.00623,0.7,0.0613,0.423,110.895,334973,3
3lhAQN2KNPh4G7RZ1hS5g5,"Don, Aman",41,1,False,,3,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.469,0.124,0,-24.361,0,0.0486,0.164,0.883,0.0988,0.0328,136.589,388400,4
3oNP9Gh1NY4sjqaVUaNjTQ,Washer,47,1,False,,4,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.433,0.0954,4,-24.127,0,0.0302,0.378,0.521,0.0852,0.0384,110.054,530027,4
6AdyaWgJliC8HJU4CseNJM,For Dinner…,38,1,False,,5,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.285,0.0231,7,-31.089,0,0.0411,0.759,0.884,0.11,0.0903,167.765,305667,4
1BNZMXjqqULiV0DmFU1B8S,"Good Morning, Captain",48,1,False,,6,4IwOItqRhsIoRuD5HP4vyC,2NnkLRaeX33d1Mn8ZLgTo8,0.442,0.502,7,-18.18,1,0.0354,0.056,0.572,0.107,0.166,188.423,459333,4
04z7FAVpX1wlHuGUj0RBDL,Ron,38,1,False,,1,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.291,0.477,2,-13.166,1,0.0408,1.14e-05,0.00728,0.0853,0.435,79.105,115467,4
5G1XBd1TzBerSaBSNmjrNK,Nan Ding,43,1,False,,2,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.646,0.485,4,-15.37,0,0.0564,0.00106,0.622,0.103,0.342,111.563,107667,4
35g4nbCAkczt4RmPNyae2o,Carol,31,1,False,,3,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.302,0.559,9,-13.99,0,0.0383,1.37e-06,0.00656,0.065,0.537,125.294,220333,5
2kcvmvEnGB2jbIGfVzulGn,Kent,26,1,False,,4,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.498,0.373,7,-17.929,1,0.0976,0.000403,0.751,0.0659,0.0698,137.654,348440,4
69bEAJsvx4jsIATZiNlwYO,Charlotte,26,1,False,,5,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.104,0.286,10,-16.157,1,0.0421,4.9e-06,0.648,0.115,0.065,80.574,269560,4
4HarMNjLPMnAgfADfezzr9,Darlene,36,1,False,,6,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.525,0.41,2,-16.479,0,0.0386,1.08e-05,0.609,0.111,0.366,120.864,185133,4
20db4oXc7Ixbti5FHZ4L8s,Warren,29,1,False,,7,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.397,0.746,10,-15.867,1,0.0457,8.03e-06,0.715,0.17,0.115,107.729,152507,4
1xMfTYZA6xJgXtJdu1Upx9,Pat,26,1,False,,8,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.457,0.49,6,-15.992,0,0.0757,0.000233,0.589,0.555,0.216,78.098,215733,3
5uhEUmiKkYqAtxFE4RV1ab,Rhoda,28,1,False,,9,4IwOItqRhsIoRuD5HP4vyC,4NxYyugSdspmYp8aEGMqTP,0.273,0.332,2,-17.853,0,0.0387,4.16e-06,0.314,0.0901,0.0853,113.991,156400,5
0O7XrasfDiyamBbEPUFZBv,Queen Of The Pirates,23,1,False,,1,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.247,0.926,9,-4.38,0,0.0923,0.00862,9.96e-05,0.363,0.348,207.361,172576,4
5xaaqEyrLTPj7A9iJaZM1A,Guilty,26,1,False,,2,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.702,0.761,0,-3.97,1,0.0473,0.000159,3.46e-05,0.104,0.588,114.978,139472,4
12oTYxYiug52ja5O91OCpo,What About,24,1,False,,3,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.528,0.836,9,-5.022,1,0.0397,0.107,0.00012,0.119,0.597,147.977,271835,4
0B2ZXZqm1tUkYeB7SWGiwy,All Messed Up,20,1,False,,4,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.559,0.649,2,-5.729,1,0.0404,0.26,0,0.0952,0.193,140.102,204536,4
2ZHKV5zDuJV7cQSZs6I0rk,Killer,22,1,False,,5,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.588,0.865,7,-4.177,1,0.0561,0.000235,0.000846,0.271,0.429,76.0,165197,4
4gd9SGipDVSEe6Kvave6Lq,Hollywood Hills,16,1,False,,6,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.698,0.738,0,-5.449,1,0.0309,0.222,2.71e-05,0.301,0.91,87.96,206369,4
1xDCCly2tUvw67spq7V4kM,Secrets,15,1,False,,7,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.441,0.791,9,-4.105,1,0.0387,0.181,3.69e-05,0.407,0.374,153.884,267767,4
5LsV8eOhK82WgUwzAvll7D,All These Years,25,1,False,,8,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.496,0.476,0,-6.715,1,0.0269,0.052,0.0607,0.129,0.112,86.035,253148,4
1iDiIFqnQhZS6XTyvMMUeO,Don't Give Up,17,1,False,,9,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.688,0.879,0,-6.167,1,0.0411,0.0137,0.16,0.162,0.55,141.019,282475,4
3ETJKqHwLSyXC9byqGtxKM,God I Know,13,1,False,,10,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.562,0.438,7,-7.937,1,0.0269,0.533,0.000514,0.151,0.295,92.055,216415,4
3U31nfh0WdiS8A1Lr1WvBm,The Way We Live,13,1,False,,11,3u1RBHEOlOkV5E3mihCQ4z,1NVVWMGlnP8IK9X6GVi60F,0.454,0.878,2,-2.638,1,0.0497,0.0796,1.32e-05,0.256,0.479,124.923,293921,4
0zBoIyYArfVHypfNzUpIa6,Get Back - Live 1995,4,1,False,,1,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.165,0.722,5,-12.643,1,0.0886,0.785,0.0566,0.523,0.302,156.135,225085,4
1ShjXKG1DyKrlAU98hZ6SZ,All Hail Me - Live 1995,3,1,False,,2,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.382,0.651,10,-12.693,1,0.0799,0.864,0.593,0.277,0.506,120.914,200373,4
25PCQKeSDGJm1QB4tIueHj,Stoneface - Live 1995,3,1,False,,3,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.364,0.731,2,-12.233,0,0.0668,0.893,0.279,0.309,0.45,133.961,176001,4
3FlioyZldN5Tu5thzFWQFF,Forsythia - Live 1995,3,1,False,,4,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.356,0.727,5,-12.753,1,0.0928,0.873,0.831,0.634,0.581,126.218,296739,4
6LJutrC6rkkFNVaPc7VgzH,Straight - Live 1995,2,1,False,,5,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.304,0.887,11,-12.247,1,0.165,0.797,0.367,0.375,0.266,125.799,146430,4
4rjhIyE07kmGwnBvHPvuUV,She's A Brain - Live 1995,3,1,False,,6,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.202,0.763,9,-13.213,0,0.228,0.887,0.0686,0.327,0.256,154.17,220200,4
71kJmjw9uxPVsLFOc5WovL,Number One Blind - Live 1995,2,1,False,,7,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.329,0.511,6,-12.915,1,0.0387,0.919,0.623,0.198,0.36,107.462,213095,4
204AmgClKmukgkOHfoQJQ6,Sundown - Live 1995,3,1,False,,8,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.373,0.602,6,-13.329,1,0.0499,0.927,0.876,0.509,0.356,121.044,218737,4
7FrKyzguUkXLtyE7Y3HLuN,Seether - Live 1995,4,1,False,,9,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.355,0.718,10,-13.025,0,0.0967,0.871,0.753,0.489,0.315,138.929,242326,4
2AkcuibJpvW4SNRyZtSZtR,Spiderman - Live 1995,2,1,False,,10,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.318,0.567,2,-12.821,1,0.0413,0.879,0.442,0.666,0.377,78.473,340912,4
785fNc04QMjdITrPaviOXU,Victrola - Live 1995,1,1,False,,11,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.266,0.801,7,-12.19,0,0.0948,0.799,0.881,0.746,0.308,155.442,132951,4
0liyIsRMfxApdPLtXIkj73,25 - Live 1995,2,1,False,,12,2QwJQuBekTA4qF7N7uLHDP,2H20fJWWeIfy4IMccU19Ea,0.371,0.365,9,-14.701,1,0.0371,0.967,0.772,0.362,0.276,124.488,266855,4
1CQwYC4e2JBQMLNKiVT40I,The Gospel According to Saint Me,22,1,False,,1,2QwJQuBekTA4qF7N7uLHDP,2AgTRDtQlLwlJqgyjUxyaD,0.575,0.913,9,-4.511,1,0.0364,0.000237,2.72e-06,0.117,0.741,119.16,229627,4
0vitsKKJMcCKiw73nZaLDQ,Black and Blonde,22,1,True,,2,2QwJQuBekTA4qF7N7uLHDP,2AgTRDtQlLwlJqgyjUxyaD,0.418,0.811,7,-4.312,1,0.0327,0.000152,0.000626,0.126,0.258,78.062,247307,4
