song_id,song_name,song_popularity,song_disc_number,song_explicit,song_dancibility,song_energy,song_key,song_loudness,song_mode,song_speechiness,song_acousticness,song_instrumentalness,song_liveness,song_valence,song_tempo,song_duration_ms,song_time_signature,album_id,artist_id
6cC4WIsqtrquOLhQLtJWSp,Got To Get Better In A Little While - Live,24,1,False,0.484,0.793,2,-12.32,1,0.0322,0.229,0.174,0.699,0.887,107.8,832200,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
31qBdpbVY6E81KX6apN1kT,"Why Does Love Got To Be So Sad - Live At Fillmore East, New York / 1970",25,1,False,0.344,0.74,2,-11.71,1,0.0411,0.0127,0.00634,0.674,0.736,111.093,889467,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
0t5Or2FIzwEfwWz6iDAOi2,"Key To The Highway - Live At Fillmore East, New York / 1970",22,1,False,0.385,0.457,9,-12.238,1,0.0307,0.147,0.000374,0.769,0.782,85.334,385507,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
47v9TSLy2BwavTDNygQ3b2,Blues Power - Live,22,1,False,0.413,0.799,0,-11.381,1,0.0359,0.459,0.00384,0.601,0.865,129.351,631000,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
5m0iS3l8AFdzibNsxhoVXv,Have You Ever Loved A Woman - Live,20,1,False,0.455,0.398,0,-13.155,1,0.0522,0.515,0.000831,0.927,0.514,126.608,496493,3,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
7m3axunjIUDkyBNPZySpP8,Bottle Of Red Wine - Live,21,1,False,0.495,0.693,0,-11.444,1,0.0297,0.136,0.00338,0.906,0.566,135.822,335040,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
7uHbvmA5mSREGgrndwFyQ0,"Tell The Truth - Live At Fillmore East, New York / 1970",18,2,False,0.441,0.662,11,-12.262,0,0.0267,0.0108,0.0023,0.186,0.794,99.467,687961,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
0ZKaa1xFzCUl83WI3ieG7r,"Nobody Knows You When You're Down And Out - Live At Fillmore East, New York / 1970",20,2,False,0.466,0.367,0,-14.99,1,0.0329,0.753,2.66e-05,0.646,0.37,151.672,333133,3,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
2OgKca37WIlulUAt7F0GHN,Roll It Over - Live,16,2,False,0.502,0.694,9,-11.686,1,0.0304,0.226,0.00111,0.732,0.887,109.577,400667,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
6EzGjK11ulMw8kR3FROfZD,Presence Of The Lord - Live,18,2,False,0.42,0.443,0,-13.162,1,0.0404,0.762,7.78e-06,0.748,0.394,129.391,376488,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
0TG9Wl94TpT8paYZXRiQUW,"Little Wing - Live At Fillmore East, New York / 1970",27,2,False,0.408,0.535,6,-13.553,0,0.0426,0.583,2.58e-05,0.143,0.473,130.932,420573,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
4MJparGJJYlWIBtbOfZZBg,"Let It Rain - Live At Fillmore East, New York / 1970",24,2,False,0.336,0.825,2,-12.435,1,0.0556,0.0061,0.484,0.737,0.669,139.32,1186600,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
2r4z29cwj1WtlAWuP2uAtG,"Crossroads - Live At Fillmore East, New York / 1970",27,2,False,0.337,0.643,2,-11.871,1,0.0368,0.0784,0.0207,0.907,0.853,167.139,509800,4,4dYhBXJ9iQH8jKaGPsg3FW,2rc78XDH9zuJP6bm78lU8Z
02RDTSLWoJeM4hd8pJzGlo,Why Does Love Got To Be So Sad - Live,25,1,False,0.328,0.769,2,-11.352,1,0.0441,0.235,0.00962,0.256,0.583,108.726,575507,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
6OdI92IvoibUeatOZG8J6R,Got To Get Better In A Little While - Live,28,1,False,0.467,0.883,2,-10.07,1,0.0346,0.124,0.399,0.893,0.819,108.625,830620,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
3OSqpdcSJFaKBoFjlmOToi,Let It Rain - Live,17,1,False,0.327,0.927,2,-10.22,1,0.0984,0.0248,0.44,0.701,0.313,125.133,1068166,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
0ByF9EfOcIxkpkX3naALYY,Presence Of The Lord - Live,21,1,False,0.403,0.557,9,-12.32,0,0.0348,0.804,0.00184,0.359,0.378,130.418,370839,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
5Epyz0zXMYINMlCvAxdK4T,Tell The Truth - Live,13,1,False,0.493,0.683,4,-11.909,0,0.0278,0.567,0.0127,0.832,0.87,101.291,682223,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
5rmBDOts0c8Ar8IzjPihgF,Bottle Of Red Wine - Live,15,1,False,0.457,0.746,0,-11.733,1,0.0323,0.0547,0.00275,0.981,0.49,136.869,339054,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
3PBRTNVVVZyIKa6CRlfGWH,Roll It Over - Live,18,1,False,0.482,0.677,11,-13.069,0,0.0318,0.412,0.141,0.518,0.844,109.15,406937,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
12BmHTZhPJ7Rsvo7Jdg0n3,Blues Power - Live,16,1,False,0.359,0.805,0,-10.828,1,0.032,0.539,0.0667,0.648,0.824,129.848,630524,4,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
0RFoDx9gPRaxCLQBWD2Vmr,Have You Ever Loved A Woman - Live,15,1,False,0.414,0.369,0,-14.539,1,0.0322,0.506,0.000288,0.785,0.354,126.437,491993,3,0lctewrLljhj5GWi5fdq1F,2rc78XDH9zuJP6bm78lU8Z
1pnaT16BPTlkPYk6D3tMhL,I Looked Away,14,1,False,0.505,0.488,0,-9.191,1,0.0292,0.375,0.00102,0.154,0.72,117.449,187173,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
3cMCyIlkHG01PDS33ULNFn,Bell Bottom Blues,16,1,False,0.411,0.689,2,-6.117,1,0.0333,0.577,0.0605,0.145,0.644,133.176,304520,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
4pCOav1nZGDDuS1xGAHAyB,Keep On Growing,13,1,False,0.5,0.904,10,-6.251,1,0.0677,0.369,0.243,0.0856,0.74,92.276,383013,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
0cQampQePoqX2EGUKFOuxX,Nobody Knows You (When You're Down And Out),13,1,False,0.322,0.518,0,-8.46,1,0.0325,0.911,0.386,0.611,0.404,166.151,300093,3,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
4bhoXJ9bJwhPhJFjGxCn4x,I Am Yours,10,1,False,0.685,0.311,7,-16.02,1,0.0339,0.402,0.356,0.232,0.613,121.647,217400,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
5LD95mwc2RQaaMltdfgaBO,Anyday,12,1,False,0.188,0.867,2,-6.119,1,0.0561,0.169,0.00247,0.198,0.717,169.275,396893,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
1U1q006m7BxYCIpwSAjPq0,Key To The Highway,12,1,False,0.297,0.644,9,-7.166,1,0.0387,0.44,0.851,0.38,0.554,84.202,580573,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
5O8J9WXgMf3ssCH5u1iZIn,Tell The Truth,10,1,False,0.44,0.888,4,-4.916,1,0.0585,0.447,0.0409,0.103,0.589,104.546,401840,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
35cWcZA6e5TpVKmAJuRVrp,Why Does Love Got To Be So Sad?,12,1,False,0.353,0.962,10,-4.879,1,0.184,0.119,6.26e-05,0.109,0.297,125.442,284467,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
0mEdtMUfVhGWftbQ4CkgJi,Have You Ever Loved A Woman,13,1,False,0.303,0.642,0,-6.759,1,0.0523,0.647,0.0767,0.296,0.644,170.433,414387,3,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
4484Ep0YNUy4bbJkMdXbQr,Little Wing,11,1,False,0.273,0.808,6,-4.404,0,0.0422,0.46,0.0111,0.251,0.602,133.712,336333,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
2CxCiCOLcy6uB6swGpG72S,It's Too Late,9,1,False,0.542,0.595,9,-5.964,1,0.0313,0.718,1.63e-05,0.425,0.719,111.352,232773,3,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
4FzVgf3e1KGwRbFRWPI05W,Layla,24,1,False,0.411,0.899,1,-3.876,1,0.0645,0.57,0.274,0.3,0.495,115.686,426560,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
7b0g7UPixaXpZYGXRCR4PT,Thorn Tree In The Garden,10,1,False,0.643,0.12,11,-20.158,0,0.0336,0.943,0.0412,0.101,0.202,95.533,170840,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
4GUszhvfLaViE4OS92uHVW,Mean Old World,9,2,False,0.772,0.451,0,-11.442,1,0.042,0.793,0.0322,0.066,0.891,94.276,230187,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
3uXjkfN4S21DMBE7icSy5L,Roll It Over,11,2,False,0.488,0.84,9,-4.859,1,0.0266,0.0104,0.002,0.0991,0.81,104.317,272867,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
3e90d6wV3rQ36D0dSQhMe1,Tell The Truth - Single Version,9,2,False,0.406,0.968,4,-3.878,1,0.0621,0.0872,0,0.399,0.755,88.409,204573,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
0EYtvFhu8L5KBGkkkES0yN,Snake Lake Blues,17,2,False,0.409,0.563,4,-9.641,1,0.0297,0.303,0.456,0.054,0.603,184.732,213600,3,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
3pMCFSOScZIhdKS1kwtznL,Evil,10,2,False,0.455,0.843,2,-8.837,1,0.0444,0.133,0.343,0.133,0.824,96.432,275920,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
2Z2Hri10QNEop885VChnmv,Mean Old Frisco,8,2,False,0.482,0.777,9,-8.651,1,0.0351,0.361,0.413,0.376,0.705,149.768,247680,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
3z1rSNPcNPDB8uHhVDPPPV,One More Chance,9,2,False,0.664,0.645,11,-10.399,0,0.0232,0.399,0.0064,0.377,0.762,94.068,197653,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
6ux9KP7YBD9VZaLnCKeQS4,Got To Get Better In A Little While - Jam,8,2,False,0.563,0.695,7,-9.435,1,0.0373,0.00971,0.853,0.111,0.819,98.437,225240,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
7krL9aLIk4QU0uG9vIKI1d,Got To Get Better In A Little While - Remixed,11,2,False,0.448,0.906,2,-7.014,1,0.0412,0.0295,0.35,0.209,0.781,90.155,365453,4,7EC1uzqEoYL2i3ZlFzGnMf,2rc78XDH9zuJP6bm78lU8Z
1BGVklnx4mU14VQgCwLY35,I Looked Away - 40th Anniversary Version / 2010 Remastered,8,1,False,0.501,0.488,0,-9.131,1,0.029,0.324,0.00113,0.165,0.729,117.573,184560,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
0Gl0KOFS0I0HFkHSmTGJTr,Bell Bottom Blues - 40th Anniversary Version / 2010 Remastered,11,1,False,0.404,0.695,2,-6.162,1,0.034,0.587,0.0383,0.159,0.646,133.136,301720,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
6VtX65zfTbHPpeWQysRaxW,Keep On Growing - 40th Anniversary Version / 2010 Remastered,6,1,False,0.506,0.906,10,-6.309,1,0.0652,0.357,0.278,0.126,0.724,92.578,380680,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
4jeLkOXA2NKRFfjjj8im1h,Nobody Knows You When You're Down And Out - 40th Anniversary Version / 2010 Remastered,8,1,False,0.456,0.512,0,-8.454,1,0.0284,0.908,0.426,0.736,0.376,83.256,297320,3,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
5x9K1jGj8boxhboInG1FuF,I Am Yours - 40th Anniversary Version / 2010 Remastered,5,1,False,0.681,0.307,7,-16.001,1,0.034,0.426,0.433,0.217,0.612,121.604,215093,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
5RO3bTp2tcW344zRikavSu,Anyday - 40th Anniversary Version / 2010 Remastered,5,1,False,0.191,0.869,2,-6.158,1,0.0539,0.182,0.00179,0.184,0.741,168.702,395520,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
05wFe6L7gz3pk1W6q8oWKj,Key To The Highway - 40th Anniversary Version / 2010 Remastered,6,1,False,0.292,0.64,9,-7.153,1,0.0372,0.424,0.826,0.478,0.571,83.926,577973,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
5PoXbYl1dh0Axfa9DBdUrT,Tell The Truth - 40th Anniversary Version / 2010 Remastered,4,1,False,0.444,0.888,4,-4.938,1,0.0567,0.446,0.0549,0.102,0.589,104.454,398360,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
0mcW5vcRphbDoNu28FoZ3G,Why Does Love Got To Be So Sad? - 40th Anniversary Version / 2010 Remastered,6,1,False,0.378,0.963,10,-4.909,1,0.171,0.0983,9.59e-05,0.291,0.298,125.507,281907,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
0dWD1IFtCe0j9JdeyIOKR0,Have You Ever Loved A Woman? - 40th Anniversary Version / 2010 Remastered,6,1,False,0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,412960,3,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
7bfVZO1Wq2vu40VawtCW2z,Little Wing - 40th Anniversary Version / 2010 Remastered,7,1,False,0.275,0.81,6,-4.396,0,0.0424,0.464,0.0125,0.36,0.607,133.729,333133,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
1GDd532NhV1uLI1vuhOmh0,It's Too Late - 40th Anniversary Version / 2010 Remastered,4,1,False,0.531,0.598,9,-6.03,1,0.0324,0.702,4.67e-06,0.395,0.751,111.397,229693,3,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
5zapHXSbNi7u9IqWNo0fuO,Layla - 40th Anniversary Version / 2010 Remastered,15,1,False,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,423840,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
40xHesFWa0pIZW0Vh99v46,Thorn Tree In The Garden - 40th Anniversary Version / 2010 Remastered,4,1,False,0.631,0.119,11,-20.17,0,0.0354,0.931,0.0385,0.097,0.208,95.814,170867,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
7F01KOcoawJB7akObBYJfX,Mean Old World - 40th Anniversary Version / 2010 Remastered,3,2,False,0.57,0.45,0,-11.443,1,0.0798,0.795,0.0388,0.0564,0.899,189.596,228813,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
136FKGFqD0WMdasekbOi8q,Roll It Over - 40th Anniversary Version / 2010 Remastered,4,2,False,0.492,0.85,9,-4.868,1,0.0275,0.0104,0.00472,0.146,0.758,104.328,271027,4,5aoxWOFAgalv9NtxUp5cHq,2rc78XDH9zuJP6bm78lU8Z
